,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
20,doc_20,"Lithium titanate (Li4Ti5O12/LTO) 4 Ti 5 O 12 /LTO) has been widely recognized for its superior stability and long cycle life as a negative electrode material for lithium-ion batteries. However, its limited specific capacity and poor rate performance have hindered broader applications. This study introduces an innovative approach to address these limitations by preparing Zr-doped Li4Ti5O12 4 Ti 5 O 12 coated with reduced graphene oxide (rGO) (LTO-0.1Zr@rGO) using a wet chemical method combined with freeze-drying technology. The incorporation of Zr ions into the LTO lattice resulted in an increase in the lattice parameter and the unit cell volume. This increase facilitated the transmission of lithium ions and enhanced the material's conductivity. Furthermore, the rGO coating was found to significantly enhance the rate performance and cycle stability of the material. The LTO-0.1Zr@rGO composite demonstrated a high rate capacity ranging from 396.5 to 263.6 mAh g- 1 at current densities varying from 0.2 to 5.0 A g- 1 , with a stable capacity of 310.2 mAh g- 1 maintained after 1000 cycles at a current density of 1.0 A g- 1 . These results indicate the potential of LTO-0.1Zr@rGO as a promising anode material for high-rate and stable lithium-ion batteries.",LTO-0.1Zr@rGO,396.5 to 263.6 mAh g- 1,0.2 to 5.0 A g- 1,N/A,1000
21,doc_21,"The LaF3-modified Li4Ti5O12 materials have been synthesized via a chemical co-precipitation method, and the effects of different amounts of LaF3 modification (0.5 wt%, 1 wt%, 2 wt%, and 3 wt%) on the morphology, structure, and electrochemical performance of the Li4Ti5O12 (LTO) materials were investigated. X-ray diffraction and X-ray photoelectron spectroscopy (XPS) characterizations show that the La3+ or F- ions are not incorporated into the LTO particles, and major LaF3 and minor La2O3 peaks are observed in the LaF3-modified LTO samples. Scanning electron microscopy (SEM) and transmission electron microscopy (TEM) images show that the generated LaF3/La2O3 nanoparticles are continuously wrapped around the surfaces of LTO particles. Chargedischarge tests reveal that the 1 wt% LaF3-modified LTO material (1LaFLTO) exhibits the highest rate capacity values among all of the samples of 199.9, 187.4 and 159.7 mAh g-1 at 3C, 5C, and 10C, respectively between 0 and 3 V. Moreover, 1LaFLTO also delivers superior cycling stability with a capacity retention of 94.5% after 300 cycles at 5C between 1 and 3 V. The electrochemical results demonstrate that the appropriate LaF3/La2O3 nanoparticles coated on the surface of 1LaFLTO particles not only reduce electrode polarization, SEI film resistance, and charge-transfer resistance but also accelerate Li+ diffusion and improve the reversibility, which is favorable for enhancing the electrochemical performance of LTO material.",LTO,"199.9, 187.4, 159.7 mAh g-1","3C, 5C, 10C","0 and 3 V, 1 and 3 V",300
22,doc_22,"Lithium titanate (Li4Ti5O12,LTO) has emerged as an excellent anodic material for Li+-ion batteries with great potential for development and application owing to itszero strain property. In this study, Li4Ti5O12 was synthesized via a high-temperature solid-phase technique employing low-cost industrial metatitanic acid containing S/Nb hetero ions as the titanium source and LiOH center dot H2O as a lithium source. So that the S/Nb hetero ions in the metatitanic acid were converted into dopant to achieve in-situ co-doping in the process of high-temperature calcination. S/Nb co-doping increased the cell volume, expanded the diffusion channels of lithium ions, and reduced the polarization of the battery. In addition, S/Nb co-doping induced partial transformation of Ti4+ to Ti3+ and formed more oxygen vacancies to improve the electronic conductivity and specific capacity. This study revealed that the electrochemical performance of Li4Ti5O12 (P-LTO) has been dramatically improved, exhibiting a high specific capacity of 129.8 mAh/g at 20C (1C = 175 mAh/g). Also,the LFP//P-LTO full cell achieved 134.6 mAh/g at 5C with a remarkable cycling performance. After 1000 cycles, it was able to maintain 130.9 mAh/g, along with a high capacity retention rate of 97.25 % and a coulombic efficiency approaching 100 %. This work offers a novel approach for the industrial production of LTO at low cost.",N/A,"129.8 mAh/g, 130.9 mAh/g","20C, 5C",N/A,1000
23,doc_23,"The thermal annealing effect on the morphological, structural and electrochemical properties of hydrothermal synthesized Li4Ti5O12 / TiO2 has been studied. Lithium titanate (Li4Ti5O12) nanopowders are successfully synthesized by hydrothermal method using titanuim tetrabutyl and lithium hydroxide followed by thermal annealing process at different temperatures: 500 degrees C, 800 degrees C and 900 degrees C. The X-ray diffraction (XRD) patterns indicates the appearance of the Li4Ti5O12 phase at a temperature above 800 degrees C formed after the reaction of the two phases: TiO2 and Li2TiO3 which appear at 500 degrees C. Though, the prepared electrode by the powder annealed at 800 degrees C shows an initial capacity of about 173.1 mAh g-1 (0.1 C), which retained at 75.6 mAh g-1 after 100 cycles. (c) 2024 The Electrochemical Society (ECS). Published on behalf of ECS by IOP Publishing Limited.",N/A,"173.1 mAh g-1 (0.1 C), 75.6 mAh g-1 after 100 cycles",0.1 C,N/A,100
24,doc_24,"Li4Ti5O12 (LTO) anode is a promising candidate for high-energy-density lithium-ion batteries (LIBs), but achieving high mass loading, a porous structure, and efficient ion transport remains a challenge. Herein, we present a high-mass-loading, hierarchically porous LTO anode with a conductive network and grid-lined micropores, embedded with a metal-organic framework (MOF) as both an electrode additive and surface protective layer. This novel structure is fabricated using extrusion-based three-dimensional (3D) printing technology. The self-standing framework provides mechanical stability and high conductivity, enabling a thick (316 mu m) 3Dprinted LTO@UiO-66-MOF (3D-LTO@U) anode with a mass loading of 11 mg/cm2. It delivers a high-rate capability of 161 mAh/g at 5C, an areal specific capacity of 5.37 mAh/cm2, and 78.9 % areal capacity retention after 150 cycles. Additionally, it achieves a high specific energy density of 382.35 Wh/kg. The UiO-66 MOF provides strong binding affinity, suppressing side reactions and enhancing Li-ion/electron transport within the 3D-printed interconnected channels. This improves active material utilization during charge and discharge. Furthermore, a 3D-printed full cell integrating a grid-lined 3D-LTO@U anode and a 3D-printed LiFePO4 cathode exhibits enhanced electrochemical performance. This work demonstrates an effective strategy for designing thick, high-mass-loading, and porous conductive network anodes for advanced LIBs.",LTO,161 mAh/g,5C,N/A,150
25,doc_25,"A high specific capacity spherical Li4Ti5O12 anode material of Lithium-Ion battery was successfully synthesized by a high-temperature solid-phase method consisting of ball milling, spray drying and calcination processes. Its suitable reaction conditions were explored by the orthogonal experiment method, and the effect of glucose addition on the morphology and electrochemical performance of Li4Ti5O12 was studied. The addition of glucose could change the surface structure of Li4Ti5O12, improve its conductivity, therefore enhance its electrochemical performance. The prepared lithium titanate represents a superior specific capacity of 163 mAh center dot g(-1) at 0.2 C rates, approximately 65 mAh center dot g(-1) under 10 C rates, and the capacity retention rate of sample remained 97.55% after 100 cycles of charging/discharging process.",Lithium titanate,"163 mAh/g-1, 65 mAh/g-1",0.2 C,N/A,N/A
26,doc_26,"Titanium-based anode materials have achieved much progress with the wide studies in lithium-ion batteries. However, these known materials usually possess high discharge voltage platforms and limited energy densities. Herein, a titanium-based oxide of Na2TiGeO5 with layered structure, two-dimensional lamellar frame and exposed highly active (001) facet, exhibiting good electrochemical performance in terms of high capacity (410 mAh g(-1) with a current density of 50 mA g(-1)), excellent rate capability and cycling stability with no obvious capacity attenuation after 4000 cycles, is reported. The appropriate discharge voltage plateau at around 0.2 V endows the Na2TiGeO5 anode material high security compared with graphite and high energy density compared with spinel Li4Ti5O12. Combining the electrochemical tests and the density functional theory calculations, the Li+ storage mechanism of Na2TiGeO5 is elucidated and the conversion reaction process is revealed. More importantly, this study provides a way to develop low-voltage and high-capacity titanium-based anode materials for efficient energy storage.",Titanium-based anode material,410 mAh g(-1),50 mA g(-1),0.2 V,4000 cycles
27,doc_27,"A high-loaded porous nanobelt-constructed multilayer hierarchical Li4Ti5O12 nanostructure (NBMH-LTO) is prepared via a hydrothermal process with the presence of NaF. This novel NBMH-LTO contains a nanobelt array layer directly grown on the Ti substrate and upper hollow microsphere-layers consisting of nanobelts. The selfstanding Li4Ti5O12 nanobelts on conductive Ti foil can be directly used as anode in flexible and foldable lithium ion batteries without using conductive additives or binders. Furthermore, N-doped NBMH-LTO (NBMH-NLTO) electrode is successfully obtained via a simple vapor-solid reaction process between NBMH-LTO and NH3, and it exhibits a high areal capacity of 0.71 mAh cm(-2) at 0.1 mA cm(-2 )and excellent rate/cyclic performance. Additionally, the NBMH-NLTO electrode also displays excellent performance at low temperature, after 100 cycles at -20 degrees C (1 mA cm(-2)), the capacity retention rate can reach to 98.6%. The enhanced performance of NBMH-NLTO can be attributed to its high active materials load benefited from the new synthesis strategy, good electronic connection profited from the unique 3D network of nanbelts, and the further improved electron conductivity due to the presence of Ti(3+)in nanobelts.",NBMH-NLTO electrode,0.71 mAh cm(-2),"0.1 mA cm(-2), 1 mA cm(-2)",N/A,"100 cycles, 100 cycles at -20 degrees C"
28,doc_28,"Current lithium ion batteries (LIBs) are unable to fulfill electric vehicles' fast charging requirement due to the poor rate performance of commercial LIBs anode materials (graphite and Li4Ti5O12). Thus, developing novel anode materials in LIBs to address the issue of long charging time is highly desirable. In this work, perovskite strontium vanadate (SrVO3) has been investigated as an anode material for LIBs. SrVO3 nanoparticles (SVO NPs) are prepared by gel-sol method and their fast charging performances are studied in the first time. SVO NPs display a safe lithiation potential (similar to 0.4 V), a high capacity of 320.2 mAh g(-1) at 100 mA g(-1), a stable capacity of 171.8 mAh g(-1) at 10000 mA g(-1), and excellent long-term fast-charging performance (capacity of 214.6 mAh g(-1) at 5000 mA g(-1) after 1000 cycles with a high capacity retention of 93.2%). This paper opens up a new opportunities to develop high fast charging LIBs.",SVO NPs,"320.2 mAh g(-1), 171.8 mAh g(-1), 214.6 mAh g(-1)","100 mA g(-1), 5000 mA g(-1), 10000 mA g(-1)",0.4 V,1000
29,doc_29,"Lithium titanate (LTO) can be a very promising anode material for lithium-ion batteries (LSBs) due to its inherent ability to inhibit the growth of lithium dendrites as well as its unique zero-strain properties. Unfortunately, the low electronic conductivity of LTO leads to serious shortcomings in higher electrochemical demands. In this work, the Ce3+-doped C@Li4Ti5-xCexO12 (x = 0, 0.1, 0.15 and 0.2) anode materials synthesized by the hydro- thermal method using carbon spheres as templates showed more significant improvement in both structural and electrochemical properties. The results demonstrate that electronic conductivity, lithium-ion diffusion rate, discharge specific capacity, discharge rate capability, and significant improvement stability of C@Li4Ti5-xCexO12 (x = 0.1, 0.15 and 0.2) electrodes. Among them, C@Li 4 Ti 4.85 Ce 0.15 O 12 electrode exhibits the highest initial discharge specific capacity (250.86 mAh/g) at 0.1C, which is 1.28-fold that of C@ Li4Ti5O12 (195.94 mAh/g), and initial discharge capacity from 205.96 mAh/g to 170.39 mAh/g after 500 cycles, corresponding to 82.7 % of the initial stable discharge capacity. The outstanding performance of C@Li 4 Ti 4.85 Ce 0.15 O 12 can be attributed to the lower interfacial impedance, higher electronic conductivity, high oxygen vacancy concentration, and moderate amount of Ce3+ doping can enhance the electrochemical activity. In addition, carbon sphere surface defects shown to be effective in improving lithium-ion storage. This work demonstrates that Ce3+ doping is an effective method to improve the electrochemical performance of LTOs and provides a more effective guide for designing and optimizing anode electrode materials for lithium-ion batteries.",N/A,"250.86 mAh/g (specific capacity), 205.96 mAh/g (initial discharge capacity), 170.39 mAh/g (final discharge capacity)","0.1C, unknown other rates",N/A,500
