,abstract_id,abstract,Cathode,Capacity,C-rate,Voltage,Cycle number
31,doc_31,"The growing consumption of lithium-ion batteries calls for recycling of electrode materials. Conventional direct recycling mainly consists of cathode-to-cathode and anode-to-anode strategies. In this work, a cathode-to-anode approach is proposed using a LiCoO2 model system and extending to Co-lean/Co-free cathodes (LiNi0.8Co0.1Mn0.1O2, LiMn2O4, and LiFePO4). Commercial cathodes are featured with single-crystalline or secondary-particle polycrystalline morphology, thus exhibiting higher tap density than anodes (LiCoO2 2.7 g cm(-3) vs Si 0.25 g cm(-3)). By means of an intuitively direct conversion, the anodes are bestowed with well-assembled morphology and high tap density from cathodes. During discharging, a dual conductive network is formed to facilitate lithium storage, where the binder-derived carbon functions as electronic-conductive and LiF/Li2O as ionic-conductive motifs. Recycled cathodes exhibit an outstanding rate volumetric capacity (883 mAh cm(-3), 5 A g(-1), LiCoO2) and cyclic performance (1286 mAh cm(-3), 1000 cycles, 2 A g(-1), LiMn2O4). The morphologically inherited cathode-to-anode strategy proves to be a universal method for battery recycling toward high volumetric energy density.",LiCoO2,883 mAh cm(-3),5 A g(-1),N/A,1000
32,doc_32,"Increasing the charging cut-off voltage can significantly improve the capacity of LiCoO2 cathode. However, when the cut-off voltage exceeds 4.5 V (vs Li/Li+), LiCoO2 undergoes irreversible phase transitions, leading to particle cracking and structural failure. Additionally, the decomposition of the electrolyte compromises the stability of the cathode/electrolyte interface, resulting in diminished battery capacity. Herein, the elements Al, Mg, and Zr are doped into single-crystal LiCoO2 to enhance the structural stability of LiCoO2. Moreover, a 3 & Aring; zeolite film is used to regulate the solvation structure to enhance the oxidation resistance of the electrolyte. This design enables a more stable cathode/electrolyte interface during high-voltage cycling. At a cut-off voltage of 4.8 V, the Li||LiCoO2 battery exhibits an initial discharge capacity of 236.2 mAh g(-1) at 0.1 C and maintains 86.6% capacity retention after 100 cycles at 1 C. The pouch full cell, which utilizes a graphite anode and LiCoO2 cathode, operating within a charge-discharge range of 2.8-4.65 V, achieves a specific energy of 276 Wh kg(-1) with 81% capacity retention after 200 cycles. This work introduces a desolvated electrolyte into the LiCoO2 battery system, providing a professional approach to addressing the challenges of high-voltage LiCoO2.",LiCoO2,N/A,"1 C, 0.1 C","2.8-4.65 V, 4.8 V","100 cycles, 1 cycle"
33,doc_33,"Inactive elemental doping is commonly used to improve the structural stability of high-voltage layered transition-metal oxide cathodes. However, the one-step co-doping strategy usually results in small grain size since the low diffusivity ions such as Ti4+ will be concentrated on grain boundaries, which hinders the grain growth. In order to synthesize large single-crystal layered oxide cathodes, considering the different diffusivities of different dopant ions, we propose a simple two-step multi-element co-doping strategy to fabricate core-shell structured LiCoO2 (CS-LCO). In the current work, the high-diffusivity Al3+/Mg2+ ions occupy the core of single-crystal grain while the low diffusivity Ti4+ ions enrich the shell layer. The Ti4+-enriched shell layer (similar to 12 nm) with Co/Ti substitution and stronger Ti-O bond gives rise to less oxygen ligand holes. In-situ XRD demonstrates the constrained contraction of c-axis lattice parameter and mitigated structural distortion. Under a high upper cut-off voltage of 4.6 V, the single-crystal CS-LCO maintains a reversible capacity of 159.8 mAh g(-1) with a good retention of similar to 89% after 300 cycles, and reaches a high specific capacity of 163.8 mAh g(-1) at 5C. The proposed strategy can be extended to other pairs of low- (Zr4+, Ta5+, and W6+, etc.) and high-diffusivity cations (Zn2+, Ni2+, and Fe3+, etc.) for rational design of advanced layered oxide core-shell structured cathodes for lithium-ion batteries.",N/A,163.8 mAh g(-1),5C,N/A,300
34,doc_34,"Efficiently recycling end-of-life lithium-ion batteries (LIBs) has been pursued in recent years to reduce energy consumption and secondary waste. In this paper, silicon tetrachloride (SiCl4)-assisted roasting was developed to recover LiCl, CoCl2, and Co3O4 from spent lithium cobalt oxide (LiCoO2) batteries. At 500 degrees C and a SiCl4/LiCoO2 mass ratio of 3:1, 95.6% of Co was recovered as CoCl2 and 98.4% of Li was recovered as LiCl. When the mass ratio was 0.7:1, 24.6% of Co was in the form of CoCl2, and the remaining was Co3O4, accompanied by the Li leaching rate of 95.6%. LiCoO2 resynthesized from recycled Li2CO3 and Co3O4 exhibits good electrochemical performance, with a capacity of over 142.5 mAh g(-1) at 1C and a capacity retention rate of 93% after 100 cycles. According to the EverBatt model analysis, the SiCl4-assisted roasting method exhibits lower energy consumption and greenhouse gas emission, as well as more considerable revenue. Since SiCl4 is a byproduct of the polysilicon production process, the SiCl4-assisted chlorination at medium temperatures not only reduces the cost, but also achieves the disposal of SiCl4 and spent LIBs in a green manner.",N/A,142.5 mAh g(-1),1C,N/A,100
35,doc_35,"Solid-state batteries are attracting considerable attention for their high-energy density and improved safety over conventional lithium-ion batteries. Among solid-state electrolytes, sulfide-based options like Li6PS5Cl are especially promising due to their superior ionic conductivity. However, interfacial degradation between sulfide electrolytes and high-voltage cathodes, such as LiCoO2, limits long-term performance. This study demonstrates that a LiBF4-derived F-rich coating on LiCoO2, applied by immersing LiCoO2 particles in a LiBF4 solution followed by annealing, can significantly enhance performance in Li6PS5Cl-based solid-state batteries. This coating enables stable high-voltage (4.5 V vs Li+/Li) operation, achieving an initial specific capacity of 153.82 mAh g(-1) and 87.1% capacity retention over 300 cycles at 0.5C. The enhanced performance stems from the F-rich coating, composed of multiple phases including LiF, CoF2, LixBFyOz, and LixBOy, which effectively suppresses side reactions at the LiCoO2|Li6PS5Cl interface and improves lithium-ion diffusivity, thereby enabling greater Li capacity utilization. Our findings provide a practical pathway for advancing solid-state batteries with high-voltage LiCoO2 cathodes, offering substantial promise for next-generation energy storage systems.",LiCoO2,153.82 mAh g(-1),0.5C,4.5 V,300
36,doc_36,"LiCoO2||graphite full cells are one of the most promising commercial lithium-ion batteries, which are widely used in portable devices. However, they still suffer from serious capacity degradation after long-time hightemperature storage, thus it is of great significance to study the decay mechanism of LiCoO2||graphite full cell. In this work, the commercial 63 mAh LiCoO2||graphite battery was employed to reveal the capacity decay mechanism during the storage process at a high temperature of 65 degrees C. It was found that after storing at 65 degrees C under 100% state-of-charge (SOC) for 1 month, 2 months, 3 months, and 6 months, the discharge capacity of the battery decreases by 27%, 36%, 43%, and 66% respectively, compared to that of the fresh battery. Moreover, the corresponding restored capacity is 14%, 18%, 23%, and 35%, respectively, where the irreversible capacity loss is 13%, 18%, 20%, and 31%. After characterizing the stored electrodes at 65 degrees C, the quantitative analysis results illustrated that the capacity decay is related to the formation of dead lithium on graphite electrode and the shuttle effect of Co3+ after a long storage time.",LiCoO2,63 mAh,N/A,N/A,Not applicable (storage process)
37,doc_37,"Li-rich layered cathode materials based on Li1.2Mn0.54Ni0.13Co0.13O2(LMNCO) have received increasing attention due to their high capacity densities. Nevertheless, these materials are still limited by their unsatisfactory cycle performances. In this work, the sol-gel method was used to construct heterostructured LiCo0.99Al0.01O2-Li1.2Mn0.54Ni0.13Co0.13O2 (LCAO-LMNCO) cathode material to overcome the capacity fading of LMNCO and charging voltage limitation of LiCo0.99Al0.01O2 (LCAO). The as-obtained heterostructured LCAO-LMNCO cathode material showed 273.90 mAh/g capacity at charge-discharge voltages of 2.0-4.6 V. The capacity retention was 72.10% after 100 cycles at 1 C, superior to LCAO or LMNCO.(C) 2022 Elsevier B.V. All rights reserved.",LCAO-LMNCO,273.90 mAh/g,1 C,2.0-4.6 V,100
38,doc_38,"The microbatteries field is an important direction of energy storage systems, requiring the careful miniaturization of existing materials while maintaining their properties. Over recent decades, LiCoO2 has attracted considerable attention as cathode materials for lithium-ion batteries due to its promising electrochemical properties for high-performance batteries. In this work, the thin films of LiCoO2 were obtained by radio-frequency magnetron sputtering of the corresponding target. In order to obtain the desired crystal structure, the parameters such as annealing time, temperature, and heating rate were varied and found to influence the rhombohedral phase formation. The electrochemical performances of the prepared thin films were examined as a function of annealing time, temperature, and heating rate. The LiCoO2 thin film cathode annealed at 550 degrees C for 1 h 20 min demonstrated the best cycling performance with a discharge specific capacity of around 135 mAh g(-1) and volumetric capacity of 50 mu Ah cm(-2)mu m(-1) with a 77% retention at 0.5 C rate.",LiCoO2,around 135 mAh g(-1),0.5 C,N/A,Not specified
39,doc_39,"LiCoO2 (LCO) films were successfully prepared using a radio frequency magnetron sputtering method, and the interface between the LCO cathode films and Li1.5Al0.5Ge1.5(PO4)(3) (LAGP) solid electrolyte was modified by a graphene (G) buffer layer. The composition and morphology of the thin-film samples were characterized by X-ray diffraction, X-ray photoelectron spectroscopy, and scanning electron microscopy. The LCO thin film annealed at 600 degrees C had excellent charge transport properties, respectively delivering initial charge and discharge specific capacities of 162.7 mAhg(-1) and 124.5 mAhg(-1) at 0.1C in a half-cell structure. Relaxation time distribution reconstruction impedance analysis and rate characteristic analysis of an LCO/G/LAGP/G/LCO symmetric cell demonstrated that the flexible graphene buffer layer effectively improved the contact impedance of the interface and structure stability of the active materials. After cycling for 1000 h at current densities of 0.02 mAcm(-2) and 0.5 mAcm(-2), the LCO/G/LAGP/G/LCO symmetric cell still maintained stable polarization voltages of 0.05 V and 0.7 V, respectively. In addition, an assembled LCO/G/LAGP/Li quasi-solid-state film lithium battery presented an initial discharge specific capacity of 109.53 mAhg(-1) at 0.1C, with a capacity retention rate of 71.86 % after 100 cycles.",LCO,"162.7 mAhg(-1) (initial charge), 124.5 mAhg(-1) (initial discharge)",0.1C,"0.05 V, 0.7 V",1000 h
40,doc_40,"Poly (ethylene oxide) (PEO)-based solid polymer electrolyte is always the most promising candidate for preparing thinner, lighter and safer lithium-ion batteries. However, the lithium dendrites growth of lithium anode and the high-voltage oxidation of cathode are easy to cause the PEO-based battery failure. The way to deal with the different challenges on both sides of the anode and cathode is pursued all the time. In this study, we reported a new strategy to construct the PVDF/PEO/PVDF three-layer structure for solid polymer electrolyte (marked as PVDF@PEO) using PVDF as the functional skin . The PVDF@PEO electrolyte can effectively prevent from the lithium dendrites, and shows a stable cycling life over 1000 h in the Li/PVDF@PEO/Li cell. In addition, the PVDF@PEO electrolyte exhibits higher oxidation resistance and can be matched with high-voltage LiCoO2 cathode. The Li/PVDF@PEO/ LiCoO2 cell delivered a specific capacity of about 150 mAh g(-1) over 150 cycles and maintained good cycling stability. Our research provides insights that the polymer electrolytes constructed with PVDF functional skin  can simultaneously meet the challenges of both anode and cathode in solid-state lithium-ion batteries (SSLIBs).(c) 2022 Science Press and Dalian Institute of Chemical Physics, Chinese Academy of Sciences Published by Elsevier B.V. All rights reserved.",N/A,N/A,N/A,high-voltage,150
