,abstract_id,abstract,Cathode,Capacity,C-rate,Voltage,Cycle number
66,doc_66,"The requirement for lithium-ion batteries is rising sharply in recent years due to rapid development of electric vehicles and new energy storage. However, this increase in number of lithium-ion batteries also leads to the production of a significant number of spent batteries. Considering the potential environment pollution and waste of resources, it is absolutely imperative to recover these spent lithium-ion batteries. Conventional direct regeneration method always undergoes a slow heating rate and prolonged calcination process, which consume high energy and time. Herein, we presented an efficient, low-cost and ultrafast regeneration strategy for rapid regeneration of the spent LiFePO4 in only 20 s. Compared of traditional method, this ultrafast method consumes less energy and takes shorter time. As a result, the lithium is completely replenished and the structure of LiFePO4 is well repaired, and it demonstrates excellent initial capacity of 152 mAh g-1 at 0.1C. Furthermore, RLFP-800 exhibits a good rate performance and long-cycling stability (400 cycles at 2C without capacity recession). It is expected that this rapid regeneration strategy can be developed for practical spent LiFePO4 regeneration at low cost.",LiFePO4,152 mAh g-1,0.1C and 2C,N/A,400
67,doc_67,"This study aims to enhance the electrochemical performance of lithium iron phosphate (LiFePO4) cathode materials through Ti4+ ion doping strategy, in order to address the challenges of low conductivity and slow lithium-ion diffusion rates. We synthesized iron phosphate precursors with different Ti4+ doping levels using the chemical precipitation method and successfully prepared LiFePO4 material by the high-temperature solid-phase method, which improves the uniformity of ion doping. By systematically studying the effect of Ti4+ doping on material structure, morphology, and electrochemical properties, we found that Ti4+ successfully entered the LiFePO4, without affecting its morphology or lattice. This structural change had a positive impact on the electrochemical performance of the material. The discharge-specific capacities of 2% Ti4+-doped LiFePO4 samples at 0.1, 1, 5, and 10 C reached 161.0, 132.4, 105.3, and 92.6 mAh g(-1), respectively, demonstrating excellent electrochemical performance. Its lithium-ion diffusion coefficient was also significantly better than that of other samples. The comprehensive analysis results from XRD, SEM, XPS, and electrochemical testing show that the appropriate amount of Ti4+ doping optimizes the diffusion path of lithium-ions and increases the charge transfer rate, thereby significantly improving the electrochemical performance of LiFePO4. This discovery not only enriches the understanding of the modification mechanism of lithium-ion battery cathode materials, but also provides important scientific basis and practical guidance for the development of high-performance lithium-ion battery cathode materials.",LiFePO4,"161.0, 132.4, 105.3, and 92.6 mAh (depending on the C-rate)","0.1, 1, 5, and 10 C",N/A,N/A
68,doc_68,"This work reports an efficient and effective ex -situ carbon -coating strategy for lithium iron phosphate (LFP) using supercritical CO2 (SCCO2) to improve its electrochemical performance. The SCCO2 possesses unique features including gas -like diffusivity and zero surface tension, which facilitate the penetration of carbon precursors among active materials and enable the formation of high -quality carbon -coated LFP (s-LFP/C). Compared to the conventional ball -milling process, the carbon coating layer assisted by SCCO2 comprises a higher fraction of graphitic carbon and fewer oxygen -derived functional groups, both are advantageous for electron transport. Additionally, the optimal s-LFP/C-containing half -cells reveal an outstanding specific discharge capacity (ca. 99 mAh g-1 at 10 C) and cycle life (ca. 95% for 150 cycles at 0.5 C) contributed from reduced charge -transfer impedance and comparable ionic diffusivity. Taken together, the SCCO2-coating technique highlighted herein offers a promising opportunity to build a homogeneous and highly conductive carbon layer for boosting the electrochemical characteristics of LFP cathode in lithium -ion batteries.",LFP,99 mAh g-1,"10 C, 0.5 C",N/A,150
69,doc_69,"As a mainstream commercial cathode material for lithium-ion batteries (LIBs), LiFePO4 (LFP) is still limited by its inherently low electronic conductivity and slow diffusion kinetics. Therefore, a unique and innovative synthesis strategy must be devised to overcome these deficiencies. Hereby, we successfully synthesized N,F co-doped carbon encapsulated hollow LFP nanoshuttles (LFP-NFC) using an iron-based metal-organic framework (Fe-MOF) as the precursor. Benefitting from the hollow and porous structure derived from Fe-MOF, as-synthesized LFP-NFC effectively shortens the lithium-ion diffusion path and accelerates the ion diffusion speed. Moreover, the carbon layer doped with N and F heteroatoms induces more active sites for lithium storage and improves the electronic conductivity. The optimized LFP-NFC exhibits excellent electrochemical performance with a specific discharge capacity of 162.74 mAh g(-1) at 0.1 C and a superior rate capability (102 mAh g(-1) even at 10 C).",LFP-NFC,162.74 mAh g(-1),"0.1, 10",N/A,N/A
70,doc_70,"Lithium-ion batteries are a promising technology to promote the phase-out of fossil fuel vehicles. Increasing efforts are focused on improving their energy density and safety by replacing current materials with more efficient and safer alternatives. In this context, binary composites of organic ionic plastic crystals (OIPCs) and lithium salts show promise due to their impressive mechanical properties and ionic conductivity. Taking advantage of this, the present paper substitutes the commercial non-electrochemically active binder with an OIPC component, N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)imide ([C(2)mpyr][FSI]), in combination with LiFSI. Slurry-formulation experiments revealed that varying the new binder's composition allows the production of diverse LiFePO4 (LFP) cathodes via the conventional fabrication process. Large amounts of OIPC-lithium salt mixtures in the composition yielded thick electrodes with expected nominal areal capacities of up to 3.74 mAh/cm(2), where the balanced composition with a reduced Li+ concentration can demonstrate >1.5 mAh/cm(2) at 0.1C. Lowering the amount of these ion-conductive binders enabled LFP cathodes to perform effectively under fast cycling conditions at a C-rate as high as 2C. Preliminary battery tests with a limited Li+ source demonstrated the feasibility of full-cell operation without using the lithium-metal anode. This work paves the way for developing advanced rechargeable batteries using OIPC-based ion-conductive binders for a wide range of applications.",LFP,up to 3.74 mAh/cm(2),"0.1C, 2C",N/A,N/A
71,doc_71,"Deformable lithium-ion batteries (LIBs) can serve as the main power sources for flexible and wearable electronics owing to their high energy capacity, reliability, and durability. The pivotal role of cathodes in LIB performance necessitates the development of mechanically free-standing and stretchable cathodes. This study demonstrates a promising strategy to generate deformable cathodes with electrical conductivity by forming 3D interconnected elastomeric networks. Beginning with a physically crosslinked polymer network using poly(vinylidene fluoride-co-hexafluoropropylene) and 1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide ([EMI][TFSI]), subsequent exchange with a 1 M LiPF6 electrolyte imparts elastic characteristics to the cathodes. The resulting LiFePO4 composite electrodes maintained their resistance under 500 consecutive bending cycles at an extremely small bending radius of 1.8 mm and showed high discharge capacity of 158 mAh g(-1) with stable potential plateaus in charging and discharging curves. Moreover, flexible cells utilizing the composite electrodes exhibited superior operational stability under rolling, bending, and folding deformations. image",LiFePO4,158 mAh g(-1),N/A,N/A,500
72,doc_72,"To realize the high value-added utilization of acid-washed iron red, in this paper, acid-washed iron red is used as raw material. Aiming at the problem of low conductivity of iron-based lithium ion batteries (LIBs) LiFePO4/C materials, different metal ions are doped in the iron position, and the microstructure and electrochemical properties of the obtained material are systematically studied. Here, LiFePO4/C is synthesized through simple carbothermal reduction method using acid-washed iron red as the iron source. On this basis, La (1%, 2%, 3%) doping modification is carried out. Then doped modification is performed on this basis, preferably 2% La-doped LiFePO4/C materials. The XRD patterns show that the diffraction peaks of the samples prepared at all doping amounts can be perfectly matched with the standard card ( PDF # 40-1499), and there is no impurity peak, all of which are pure phases. According to the refined data, it is clear that minor amount of La has successfully replaced the position of Fe and incorporated into the lattice. Electrochemical tests show that LiFe0.98La0.02PO4/C has the highest charge and discharge capacity of 146.5/138.2 mAhg(-1) in the first cycle at 0.5C, and the reversible specific capacity of 136.5 mAhg(-1) remains after 50 cycles. Furthermore, the first-principles calculations more strongly confirm that La doping can significantly improve the defects of low electronic conductivity of LiFePO4.",LiFe0.98La0.02PO4/C,146.5/138.2 mAhg(-1),0.5C,N/A,50
73,doc_73,"The transport performance of lithium ions affects the rate performance of the cathode at different current densities. The poor interface contact between a solid electrolyte and the cathode makes it difficult to transport lithium ions. Adding a solid electrolyte into the cathode material can improve lithium ion transport. In this paper, we prepared some cathodes with different doping ratios, including two common cathode materials (LiFePO4 and NCM811), and tested their rate and long cycle performance. LFP-10 has a specific discharge capacity of 79.75 mAh g(-1) at 5C, and the Li+ diffusion coefficient of LFP-10 is 4.91 x 10(-13) cm(-2) s(-1), which is about 13.4 times higher than the pure LiFePO4 sample. The rate performance of an all-solid-state battery has also been improved, and there is still more than 100 mAh g(-1) capacity reserved at 60? and 2C current density. This shows that the introduction of a PEGDA-based solid electrolyte can significantly improve the Li+ transport of the cathode, and the composite cathode also provides support for the future application of all-solid-state batteries.",N/A,"N/A, 100 mAh g(-1)",2C,N/A,N/A
74,doc_74,"As the electric-vehicle market continues to expand, LiFePO4 (LFP) batteries, valued for their intrinsic safety and cost-effectiveness, are being increasingly utilized. However, this widespread adoption highlights the urgent need for innovative and environmentally friendly recycling methods for spent LFP batteries due to their relatively low material value and the environmental challenges associated with traditional recycling processes. In this study, we present a novel selective lithium leaching technique that involves a gas-solid reaction with chlorine gas. This method achieves a remarkable leaching efficiency of 99.8 % and a selectivity of 98.8 % at 200 degrees C within just 10 min, without generating acidic wastewater. The resulting LiCl solution was successfully converted into Li2CO3 with an excellent purity of 99.5 %, while producing NaCl solution as the only byproduct. Notably, the olivine structure of the LFP was preserved as FePO4 after lithium leaching. The regenerated LFP demonstrated excellent performance, retaining 94.1 % of its capacity after 150 cycles, while the lithium-leached FePO4 delivered a reversible capacity exceeding 150 mAh/g. This approach not only enhances the efficiency of LFP recycling but also paves the way for more sustainable battery technologies.",N/A,N/A,N/A,N/A,N/A
75,doc_75,"Direct recycling of retired lithium-ion batteries offers a promising solution to address resource scarcity and environmental concerns. While existing recovery methods focused on black mass face limitations, which underscores the demand for universal and efficient strategies to regenerate degraded cathode materials. Here, we introduce a highly compatible chemical lithiation-based method for regenerating degraded LiFePO4 materials. This process uses a multifunctional bipyridine-lithium reagent to drive spontaneous chemical reactions, followed by annealing that simultaneously restores structural integrity and introduces nitrogen doping. The regenerated material delivers a discharge capacity of 164 mAh g-1 and retains 90 % of its capacity after 500 cycles at 0.5C. Additionally, this method enables in-situ regeneration of degraded electrodes, yielding a 10 % enhancement in initial capacity compared to untreated samples. This approach provides a feasible solution for the direct regeneration of cathode materials, paving the way for sustainable practices in the circular development of the battery industry.",LiFePO4,164 mAh g-1,0.5C,N/A,500
