,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
27,doc_27,"To mitigate the structural collapse of MoS2 during charging and discharging, MoS2-CNT composites were fabricated as anodes for lithium-ion batteries (LIBs). Hydroxylation CNT was incorporated to provide growth sites for MoS2 nanosheets, thereby enhancing their overall dispersion. This structure effectively improves the stability during cycling compared to MoS2/CNT, and to some extent improves the structural collapse of MoS2. As a result, the initial discharge capacity of the MoS2-CNT anode was 1194 mAh g(-1) and the sustained capacity was 774 mAh g(-1) after 200 cycles at 0.5 A g(-1).",MoS2-CNT,1194 mAh g(-1),0.5 A g(-1),N/A,200
28,doc_28,"Preparation of porous carbon from natural biomass offers attractive features to facilitate the specific capacity and promote the rate capability of lithium-ion battery (LIB). Herein, the hollow mesh porous rape pollen carbon (RPC) microsphere derived from treated RP (TRP) was utilized as a skeleton to load MoS2 nanoparticles. The MoS2@porous biochar-derived RP (MoS2@RPC) anode materials were obtained by the hydrothermal-pyrolysis route. Attributing to the synergistic effect of spherical, hollow, and mesh porous carbon skeletons, larger specific surface areas, evenly distributed MoS2 nanoparticles, and an appropriate amount of TRP, the MoS2@RPC-1.0 (TRP amount of 1.0 g) anode material reveals exceptional rate capability and cycling stability. A high specific capacity of similar to 800 mAh g(-1) at 100 mA g(-1) is observed after 100 cycles, and that of similar to 600 mAh g(-1) at 500 mA g(-1) is also obtained after 500 cycles. In conclusion, the MoS2@porous biochar composite is expected to become one of the most promising anode materials for LIBs.",MoS2@porous biochar,"~800 mAh g(-1), ~600 mAh g(-1)","100 mA g(-1), 500 mA g(-1)",N/A,"100, 500"
29,doc_29,"In this paper, one-step hydrothermal preparation of high purity and large layer spacing 1T-MoS2/C composite has been reported. The 1T-MoS2/C composite presents unique flower-like microsphere structure with a large layer spacing of 0.95 nm. As the advantage of its unique structure, the 1T-MoS2/C composite electrode delivers superior cycling stability with 509 mAh g-1 under the condition of 300 cycles at 2 A g-1. Moreover, a favorable reversible capability of 559 mAh g-1 can be maintained at a high rate of 5 A g-1. Therefore, the 1T-MoS2/C composite is likely to be a promising anode material for high-performance lithium-ion batteries.",1T-MoS2/C,"559 mAh g-1, 509 mAh g-1","5 A g-1, 2 A g-1",N/A,300 cycles
30,doc_30,"Molybdenum disulfide (MoS2) is recognized as a highly promising anode material for lithium-ion batteries (LIBs) due to its two-dimensional layered structure and substantial theoretical specific capacity. The 1 T phase of MoS2, which significantly influences electrochemical performance, offers markedly higher conductivity. However, the metastable nature of 1 T-MoS2 complicates its direct synthesis under standard conditions, making it susceptible to transformation into the less conductive 2H phase through restacking, which in turn degrades its electrochemical properties. This study employed glucose molecules to facilitate the in situ growth of 1 T-rich MoS2 on N-doped graphene via a simple and efficient one-step hydrothermal method. The glucose molecules uniformly insert themselves into the MoS2 interlayers, effectively expanding the interlayer spacing while preserving structural stability and enhancing reaction kinetics. Additionally, the novel interface between carbon-inserted MoS2 and N-doped graphene (NG) creates an efficient transport channel for the rapid transfer of electrons and Li+ ions from graphene to the MoS2 plane. Electrochemical characterization reveals that the MoS2/C@G composite demonstrates excellent bidirectional reaction kinetics and high reversible capacity. Even at a current density of 2 A g- 1 after 1000 cycles, the MoS2/C@G composite retains a capacity of 1022.4 mAh g- 1. This work proposes a viable strategy for preparing 1 T-rich MoS2-based anode materials, highlighting their significant potential for energy storage device applications.",MoS2/C@G composite,1022.4 mAh g-1,2 A g-1,N/A,1000
31,doc_31,"Molybdenum disulfide (MoS2) is a promising anode material for lithium-ion batteries (LIBs) due to its distinctive graphene-like structure and high specific capacity. However, its commercial application is hindered by the severe volume expansion during lithiation/delithiation and poor conductivity. In this paper, we report a facile one-pot enhanced hydrothermal synthesis strategy to prepare high-performance MoS2/C composite materials. The results indicate that the as-prepared MoS2/C composite is a subspheroidal core-shell structure material, with uniform coating, good particle dispersion, and an average grain size of approximately 80 nm. The morphology of the composite remained unchanged even after annealing at 500 degrees C for 2 h. The addition of glucose can accelerate the nucleation and growth of MoS2, and higher hydrothermal temperatures can improve the product yield. The addition of PVP has little effect on the yield, but significantly reduces the particle size. The XPS analysis reveals that the MoO3 may be generated as an intermediate product during the hydrothermal process. The electrochemical test results show that the unannealed MoS2/C samples exhibit discharge-specific capacities of 705.2 mAhg(-1) and 625.7 mAhg(-1) after the first cycle and the 100th cycle, respectively, at a current density of 500 mAg(-1), with a capacity retention rate of 88.7%. In contrast, the specific capacity of the MoS2/C specimens after annealing at 500 degrees C for 2 h shows a tendency to decrease and then slowly increase during the cycles, and the discharge specific capacity is 582.3 mAhg(-1) after the 100th cycle, which is lower than that of the unheated sample. The impedance analysis reveals that the lithium-ion diffusion coefficient of the MoS2/C material without calcination is 2.11 x 10(-18) cms(-2), which is superior to that of the annealed MoS2/C and pristine MoS2 samples. This characteristic is favorable for lithiation/delithiation during the charge/discharge process.",N/A,582.3 mAhg(-1),N/A,N/A,100
32,doc_32,"With society's rapid progress, there is an increasing need for electricity among individuals, but the prevailing source of electricity is still mainly obtained through the burning of nonrenewable fossil fuels, which are not renewable and pose serious environmental hazards. Lithium-ion batteries are used widely for excellent rechargeable capabilities and high energy density. Recently, researchers have become increasingly interested in transition metal sulfides owing to their cost-effectiveness and remarkable specific capacity. However, their commercialization has been hindered by the expansion of material volume and low electrical conductivity during charging and discharging. We have successfully designed and synthesized MoS2 nanosheets loaded on carbon spheres with a 3D hollow structure starting from SiO2 as a template. Due to the doping of carbon materials and particular 3D hollow structures, the optimal C/MoS2-0.3 hollow nanocomposites exhibit excellent electrochemical performance. Following exposure to over 900 cycles at a 0.5 A g(-1) ampere density, the materials exhibited an exceptional 958.50 mAh g(-1) reversible capacity, demonstrating their remarkable performance.",MoS2 nanosheets loaded on carbon spheres,958.50 mAh g(-1),0.5 A g(-1),N/A,over 900 cycles
33,doc_33,"Molybdenum-based materials have emerged as highly encouraging lithium-ion batteries (LIBs) anodes due to their substantial specific capacity, fast electrochemical dynamics, and superior electronic conductivity. In this study, a confined calcination method is introduced for the synthesis of molybdenum dioxide/molybdenum disulfide (MoO2/MoS2) nanoparticles within a porous nitrogen-doped carbon matrix (C/MoO2/MoS2). For such a goal, a novel stable poly(HIPE) constructed from polyacrylonitrile (PAN), polydivinylbenzene (PDVB), ammonium heptamolybdate (AHM), and ammonium persulfate (APS) was introduced as a reaction platform. In-situ calcination of AHM during pyrolysis led to the formation of ultrafine MoO2 nanoparticles in the nitrogen-doped carbon framework derived from PAN and PDVB carbonization. Gaseous sulfur from the thermal decomposition of well-distributed APS in the proposed poly(HIPE) formed a thin layer of MoS2 on the MoO2 nanoparticles to form a MoO2/MoS2 hybrid in the carbon foam. A key advantage of this synthesis method is the formation of ultrafine MoO2/MoS2 nanoparticles within the carbon matrix. This benefit arises from the confinement of the molybdenum precursor within the initial polymer, which subsequently transforms into a carbon support. In other words, as the polymer decomposes to establish the carbon framework, MoO2/MoS2 nanoparticles nucleate and grow within these restricted spaces. The confined MoO2/MoS2 nanoparticles in the conductive porous network of carbon resulted in a heterostructure with abundant active electrochemical nanospots and rapid ion/electron transportation in the lithium charge/discharge process of LIBs. As an anode material for LIBs, the C/MoO2/MoS2 composite exhibits a reversible capacity of 541 mAh g-1 after 100 cycles at a current density of 0.2C and maintains a reversible capacity of 140 mAh g-1 after 3000 cycles at 10C. This study highlights the potential of the C/MoO2/MoS2 composite as an electrode material for long-life lithium-ion batteries.",Molybdenum-based material (C/MoO2/MoS2 composite),"541 mAh g-1, 140 mAh g-1","0.2C, 10C",N/A,"100, 3000"
34,doc_34,"The development of sustainable and cost-effective anode materials with the ability to achieve superior performance in both lithium -ion batteries (LIBs) and sodium -ion batteries (SIBs) continues to pose a major challenge. Among the various available options, molybdenum -based materials have emerged as highly promising anodic candidates for both LIBs and SIBs owing to their substantial specific capacity, rapid electrochemical dynamics, and outstanding electronic conductivity. In this work, we present the preparation of molybdenum dioxide/ molybdenum disulfide@nitrogen-doped carbon nanosheets (MoO 2 /MoS 2 @NC) via air -thermal activation. We highlight their exceptional lithium and sodium storage capabilities, which originate from their intricate hierarchical structures. As a result, the MoO 2 /MoS 2 @NC-15 composite has a remarkably high specific capacity (1027 mAh g -1 after 100 cycles at 100 mA g -1 ), high rate capability (490 mAh g -1 at 15000 mA g -1 ), and excellent cycling performance (618 mAh g -1 after 2000 cycles at 800 mA g -1 ) in LIBs. Moreover, in SIBs, the reversible specific capacity remaining is 246 mAh/g after 200 cycles at 600 mA g -1 , which is indicative of a minimal capacity decrease of 0.4 mAh/g per cycle. Furthermore, comprehensive investigations were conducted on full cells comprising LIBs (MoO 2 /MoS 2 @NC-15//LiFePO 4 ) and SIBs (MoO 2 /MoS 2 @NC -1 5//NaNi 1/3 Fe 1/3 Mn 1/3 O 2 ), demonstrating their high specific capacities and excellent cycling performance. This study might provide a viable pathway toward developing straightforward and universally applicable synthesis methods for cutting -edge electrode materials in energy storage systems.",N/A,246 mAh/g,"600 mA g -1, 15000 mA g -1, 800 mA g -1",N/A,"200 cycles, 2000 cycles"
35,doc_35,"Molybdenum disulfide (MoS2) is a promising anode material in lithium ion batterys (LIBs). However, poor conductivity and stability severely hinder its application. Herein, carbon nitride nanotubes are used as template to in-situ grow ultrathin MoS2 nanosheets and after removing carbon nitride nanotubes, MoS2 nanosheets with an uniform tube-like structure can be obtained. Benefiting from hollow structure with long aspect ratio and well-dispersed ultrathin MoS2 layers, the obtained MoS2 nanotubes favor mass diffusion, shorten ion transfer distance and can effectively alleviate volume expansion. The obtained MoS2 nanotubes deliver a reversible capacity of 1112.3 mAh g(-1) (0.5 A g(-1) after 500 cycles), a good long cycling life (428 mAh g(-1) at 2 A g(-1) after 1000 cycles). For the MoS2-NT//LiCoO2 full cell, it exhibits stable cycling performance with discharge capacity of 143 mAh g(-1) at 0.1 A g(-1) after 100 cycles. The specific architecture of MoS2 nanotubes could provide a useful design idea for the electrode of next-generation LIBs.(c) 2022 Elsevier B.V. All rights reserved.",MoS2-NT,"428 mAh g(-1), 143 mAh g(-1), 1112.3 mAh g(-1)","0.5 A g(-1), 2 A g(-1), 0.1 A g(-1)",N/A,"100 cycles, 500 cycles, 1000 cycles"
36,doc_36,"The widespread demand for battery-powered technologies has propelled the search for efficient and commercially viable electrode materials with fast-charging abilities. Reported herein is an MoS2-expanded graphite (EG) composite as a stable and high-rate lithium-ion battery (LIB) anode, delivering specific capacities of 796 mAh g(-1) at 0.5 A g(-1) and 320 mAh g(-1) at 20 A g(-1) over 400 cycles. Cyclability at extreme rates up to 50 A g(-1) (similar to 10(3) mAh g(-1)) illustrates its scope for fast charging applications. As a result of the processing technique, the exfoliated nanosheets have good interfacial contact which aids in charge transfer and maintaining structural integrity during continuous battery operation. Further, analytical electrochemical methods suggest a predominance of pseudocapacitive charge storage mechanism, explaining the anode performance at high rates.",High-rate lithium-ion battery anode,"796 mAh g(-1), 320 mAh g(-1)","0.5 A g(-1), 20 A g(-1), 50 A g(-1",N/A,400 cycles
