,abstract_id,abstract,Anode,Capacity,C-rate,Voltage,Cycle number
28,doc_28,"Anatase structured TiO2 is promising anode material for sodium-ion batteries. However, the TiO2 anode has low ionic and intrinsic electronic conductivity, which causes to lower capacity and electrochemical performance. Anatase structured TiO2 doping with heteroatoms is used to improve the electrochemical performance of TiO2 as the anode material for sodium-ion batteries (NIBs). In this context, anatase structured Fe-doped TiO2 nano-crystalline anode materials have been investigated for the effect of the iron dopant at various percent rates on the electrochemical capacity of sodium-ion battery. Anatase structured TiO2 and Fe-doped TiO2 have been suc-cessfully synthesized by the sol-gel chemistry method by doping with iron at 1, 5, and 10 wt% percent rates. Among the doped anode materials, 5% Fe-doped TiO2 nanocrystalline anode has shown the best electrochemical performance, which was similar to 200 mAh g(-1) at the end of the 1150th cycle after 1000 cycles at a high current density of 1000 mA g(-1). Even at a high current density of 1000 mA g(-1) for the 1000 cycles, it has exhibited excellent long-cycle stability, delivering capacity retention of 87%. Doping TiO2 with iron has enhanced the electro-chemical performance of TiO2 and the capacity of anode material. This improvement is attributed to the good electronic and ionic conductivity of TiO2 with iron doping.",Anatase structured TiO2,200 mAh g(-1),1000 mA g(-1),N/A,1150
29,doc_29,"TiO2 is a promising anode material for lithium-ion batteries (LIBs) due to its low cost, suitable operating voltage, and excellent structural stability. The inherent poor electron conductivity and low ion diffusion coefficient, however, severely limit its application in lithium storage. Here, Co-doped TiO2 is synthesized by a hydrothermal method as an anode material since Co@TiO2 possesses a large specific surface area and high electronic conductivity. Thanks to the Co dopants, the ion diffusion and electron transport are both greatly improved, which is very beneficial for cycle stability, coulombic efficiency (CE), reversible capacity, and rate performance. As a result, Co@TiO2 shows a high reversible capacity of 227 mAh g(-1) at 3 C, excellent rate performance, and cycling stability with a capacity of about 125 mAh g(-1) at 10C after 600 cycles (1 C = 170 mA g(-1)).",Co@TiO2,"227 mAh g(-1), 125 mAh g(-1)","3 C, 10 C",N/A,600
30,doc_30,"The composition modification and structure manipulation of carbon-based battery electrodes is becoming an increasingly urgent need for safer, more reliable, and effective electric vehicles. Herein, we fabricate a free-standing hybrid anatase-bronze TiO2-grafted reduced graphene oxide (TiO2-rGO) through a one-pot solvothermal procedure. The TiO2-rGO composite was transformed into a film with an anisotropic alignment and assembled as an anode into lithium-ion batteries (LIBs) to enhance its performance. Our previously developed Pulse Freezing process, with modifications including: (1) dimensional and structural optimization for larger and faster film production and (2) optimal microfluidic condition for vertical porous alignment, is utilized for assembling this nanocomposite anodic film. During the microfluidic assembly process, we achieved the desirable flowrate, flow patterns, and alignments of the integrated TiO2-rGO layers while forming porous microstructures through freeze drying. The porous and aligned TiO2-integrated rGO film exhibits a significantly enhanced specific capacity of 400 mAh/g at 0.2 A/g, which is a drastic increase compared to traditional TiO2 and carbon black electrodes possessing <50 mAh/g capacity, attributed to the anisotropic alignment and porous microstructure of rGO in combination with TiO2 grafting. The developed TiO2-rGO composite film provides a promising application of Ti-based electrodes in LIBs for commercial battery industries.",TiO2-rGO composite film,"<50 mAh/g (traditional TiO2 and carbon black electrodes), N/A (developed TiO2-rGO composite film)",N/A,N/A,N/A
31,doc_31,"Compared with traditional inorganic graphite anode material, redox active organic compounds have great potential as anodes for high energy density lithium ion batteries (LIBs). The redox entities consisting of two Schiff bases on a benzene ring has been reported to exhibit high electrochemical activity for lithium ion storage. Schiff base materials with benzene ring are chemically stable, facile to synthesize and the raw materials are inexpensive and readily available. A linear type poly-Schiff base [C6H4N=CHCH=N]n (PDA-GO), prepared from simple aldol condensation reaction between p-phenylenediamine (PDA) and glyoxal (GO), was used as an anode material in CR2016 coin-type cells with lithium metal as the counter electrode. The organic anode based on PDA-GO for LIBs was found to exhibit good a high reversible specific capacity of 546 mAh g-1 at a current density of 100 mA g � 1, excellent rate capabilities and ultra-stable cycling performance with high capacity retention of 70% up 600 cycles. The effect of temperature on the electrochemical performance of the PDA-GO anode material was examined and found that the specific capacity of the anode material is quite sensitive to temperature. Furthermore, the lithium storage mechanism of the PDA-GO anode material was investigated by cyclic voltammetry and FT-IR spectroscopy. These results indicate that the poly-Schiff base PDA-GO being a good anode material with competitive advantages of high capacity in comparison to graphite anode material.",PDA-GO,546 mAh g-1,100 mA g-1,N/A,600 cycles
32,doc_32,"A hybrid-material of titanium-oxide quantum dots (QDs) anchored on graphene nanoribbons (TiO2@GNRs) was prepared by a simple hydrolysis strategy followed by heat-treatment. The GNRs can effectively accelerate the charge transference in the TiO2@GNRs. And the TiO2 QDs of similar to 5 nm can be thoroughly lithiatied/sodiated in electrically confined space of GNRs. Motivated by its unique structure, the electrochemical charge/discharge behaviors of the TiO2@GNRs serving as anodes for Li/Na-ion batteries (LIBs/SIBs) were evaluated. Reversible charge capacities of 320.8 mAh g(-1) for LIBs and 101.6 mAh;g(-1) for SIDs were demonstrated over 100 cycles at a rate of 0.5 A g(-1), respectively. And Li and Na storage capacities of 209.0 and 42.2 mAh g(-1) were retained at 8.0 A g(-1), respectively. The desirable charge capacities, stable cyclic ability, and excellent rate performance of TiO2@GNRs can be ascribed to the ultra-small TiO2 size benefiting for full insertion/extraction of alkali ions and shortening their transfer pathway as well as enhanced electronic and ionic conductivity of the overall electrodes and interfacial confinement of GNRs for maintaining the electrode integrity. (C) 2021 Elsevier B.V. All rights reserved.",TiO2@GNRs,"320.8 mAh g(-1), 101.6 mAh g(-1)","0.5 A g(-1), 8.0 A g(-1)",N/A,100
33,doc_33,"Exploring high-rate and large-capacity electrode materials with superior electrical conductivity and rapid Li+ diffusion properties remains crucial for improving the performance of Li4Ti5O12 (LTO) anodes. In this study, a C/ N/Br co-doped Li4Ti5O12/Ti3C2Tx/TiO2 nanosheet heterojunction was synthesized through a one-step hydro- thermal method. Ti3C2Tx MXene nanosheets with relatively low electronegativity function as conductive enhancers and substrates for LTO anchoring, whereas cetyltrimethylammonium bromide (CTAB) acts as a structural directing agent, surfactant, and dopant in the composite material. Theoretical modeling and experimental findings confirm that heterostructures and elemental doping effectively modulate the electronic structure at material interfaces, improving both the diffusion and adsorption characteristics of Li+. Additionally, the incorporation of flexible and conductive Ti3C2Tx enhances the electrical conductivity of the material and mitigates volumetric changes in the composite. The high capacity (336 mAh/g) of partially oxidized TiO2 on the surface of Ti3C2Tx further contributes to the material's electrochemical performance. The modified CNBr-Li4Ti5O12/ Ti3C2Tx/TiO2 material demonstrated notable improvements in rate capability and cycling stability, achieving a capacity of 169.6 mAh/g at 20C (1C = 201.9 mAh/g) after 3000 cycles, with 100 % capacity retention. At 50C, the capacity retention is 83.82 % after 3000 cycles, with a final capacity of 124.9 mAh/g. The integration of heterostructure engineering, elemental doping, and two-dimensional nanoscale architectures offers a promising strategy for designing advanced lithium-ion anode materials with enhanced high-rate performance.",Li4Ti5O12,"169.6 mAh/g, 124.9 mAh/g","20C, 50C",N/A,3000
34,doc_34,"Due to the volume expansion effect during charge and discharge processes, the application of transition metal oxide anode materials in lithium-ion batteries is limited. Composite materials and carbon coating are often considered feasible improvement methods. In this study, three types of TiO2@Fe3O4@C microspheres with a core-double-shell structure, namely TFCS (TiO2@Fe3O4@C with 0.0119 g PVP), TFCM (TiO2@Fe3O4@C with 0.0238 g PVP), and TFCL (TiO2@Fe3O4@C with 0.0476 g PVP), were prepared using PVP (polyvinylpyrrolidone) as the carbon source through homogeneous precipitation and high-temperature carbonization methods. After 500 cycles at a current density of 2 C, the specific capacities of these three microspheres are all higher than that of TiO2@Fe2O3 with significantly improved cycling stability. Among them, TFCM exhibits the highest specific capacity of 328.3 mAhg(-1), which was attributed to the amorphous carbon layer effectively mitigating the capacity decay caused by the volume expansion of iron oxide during charge and discharge processes. Additionally, the carbon coating layer enhances the electrical conductivity of the TiO2@Fe3O4@C materials, thereby improving their rate performance. Within the range of 100 to 1600 mAg(-1), the capacity retention rates for TiO2@Fe2O3, TFCS, TFCM, and TFCL are 27.2%, 35.2%, 35.9%, and 36.9%, respectively. This study provides insights into the development of new lithium-ion battery anode materials based on Ti and Fe oxides with the abundance and environmental friendliness of iron, titanium, and carbon resources in TiO2@Fe3O4@C microsphere anode materials, making this strategy potentially applicable.",TiO2@Fe3O4@C,N/A,N/A,N/A,N/A
35,doc_35,"Silicon-based anodes, with a theoretical capacity of similar to 4200 mAh/g, are promising candidates for lithium-ion batteries. However, significant volume expansion during cycling leads to electrode fragmentation and poor cycling stability. This study presents a novel approach leveraging metal oxide coatings to simultaneously enhance the mechanical stability and the electronic and ionic diffusion capabilities of silicon-based anodes. TiO2- x /SiO x nanocomposites with a Maudan-like structure were synthesized via hydrolysis and subjected to high-temperature reduction in a H2/Ar atmosphere. The unique heterogeneous structure of these composites features oxygen vacancies in TiO2-x , which induce localized electronic states and generate embedded electric fields at the interface with TiO x . The oxygen vacancies provide additional pathways for electron transport and ion storage, while the embedded electric fields further optimize the electronic and ionic transport properties of the material. This synergistic effect significantly enhances the diffusion of electrons and lithium ions at the interface, effectively mitigating volumetric strain during electrochemical cycling. At a current density of 1 C, the TiO2- x /SiO x composite electrode maintains a capacity of 608.4 mAh/g after 1000 cycles. The synergistic effects of oxygen vacancies and embedded electric fields in TiO2- x /SiO x provide new avenues for silicon-based anode materials, particularly in electric vehicles and energy storage systems.",TiO2-x/SiOx composite,608.4 mAh/g,1 C,N/A,1000
36,doc_36,"Ti3C2Tx MXene holds great potential in anode materials of lithium-ion batteries (LIBs). However, its initial coulombic efficiency (ICE) and cycling performance are low because of its inner defects. Herein, TiO2 nanoparticles are grown in these defects, effectively suppressing solid electrolyte interface (SEI) layer growth and improving the stability of the electrode. As a result, the TiO2/Ti3C2Tx composite displays excellent electrochemical properties including a high ICE of 82.5% at 100 mA g-1, compared to 66.8% for Ti3C2Tx. Moreover, TiO2/Ti3C2Tx composite maintains a stable discharge capacity of 282.3 mAh/g at 100 mA g-1 for 200 cycles with a high-capacity retention of 81.2%, and displays a high discharge capacity of 187.4 mAh g-1 at 2000 mA g-1. Our work develops an effective approach to improve the electrochemical performance of Ti3C2Tx MXene.",Ti3C2Tx MXene,"187.4 mAh g-1, 282.3 mAh/g","100 mA g-1, 2000 mA g-1",N/A,200
37,doc_37,"TiO2 nanocrystals containing oxygen defects were successfully prepared by a hydrothermal method with reductive sintering in a 5% H-2 + 95% Ar mixed atmosphere. The high-resolution transmission electron microscopy and X-ray diffraction results showed that the prepared samples were all anatase TiO2. X-ray photoelectron spectroscopy analysis showed that the reductive sintering converted Ti4+ to Ti3+. The Ti3+/Ti4+ molar ratio of the TiO2 nanocrystals increased with increasing sintering time. The results of the electron paramagnetic resonance spectroscopy analysis showed that the reduced and sintered TiO2 nanocrystals produced strong signals at g = 2.0010 and 1.9478, corresponding to the presence of oxygen defects and Ti3+, respectively. Furthermore, stronger signals were generated with increasing sintering time, indicating a progressively higher concentration of oxygen defects. The TiO2 nanocrystalswere used as anode materials for lithium-ion batteries. One sample, H-TiO2-5, containing a moderate concentration of oxygen defects, presented a higher lithium ion diffusion coefficient (D = 5.1 x 10(-13) cm(2)s(-1)) compared to the other TiO2 samples. This sample had a Ti3+/Ti4+ molar ratio of 0.179 and excellent cycling stability after 100 cycles. The discharge capacity was 124 mAh.g(-1) after 500 cycles at a current density of 1C, which means that it has good cyclic stability.",TiO2 nanocrystals,124 mAh/g (after 500 cycles),1C,N/A,"100, 500"
